weight,value,argmax_per_rtt,unchanged_from_default
alpha_base,0.0,REQUIRE_HYBRID_L5 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3,False
alpha_base,0.002,REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3,True
alpha_base,0.005,REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3,True
alpha_base,0.008,REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3,True
alpha_base,0.01,REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3,True
alpha_base,0.015,REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3,True
alpha_base,0.02,REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L1,False
alpha_base,0.03,REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L1,False
alpha_base,0.05,REQUIRE_HYBRID_L1 | REQUIRE_HYBRID_L1 | REQUIRE_HYBRID_L1 | REQUIRE_HYBRID_L1 | REQUIRE_HYBRID_L1,False
alpha_base,0.1,REQUIRE_HYBRID_L1 | PQC_ONLY_L1 | REQUIRE_HYBRID_L1 | REQUIRE_HYBRID_L1 | REQUIRE_HYBRID_L1,False
hyb,0.0,PQC_ONLY_L3 | PQC_ONLY_L3 | PQC_ONLY_L3 | PQC_ONLY_L3 | PQC_ONLY_L3,False
hyb,0.5,PQC_ONLY_L3 | PQC_ONLY_L3 | PQC_ONLY_L3 | PQC_ONLY_L3 | PQC_ONLY_L3,False
hyb,1.0,PQC_ONLY_L3 | PQC_ONLY_L3 | PQC_ONLY_L3 | PQC_ONLY_L3 | PQC_ONLY_L3,False
hyb,1.5,PQC_ONLY_L3 | REQUIRE_HYBRID_L3 | PQC_ONLY_L3 | PQC_ONLY_L3 | REQUIRE_HYBRID_L3,False
hyb,2.0,REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3,True
hyb,3.0,REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3,True
hyb,5.0,REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3,True
hyb,8.0,REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3,True
beta,0.0,REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3,True
beta,0.1,REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3,True
beta,0.2,REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3,True
beta,0.5,REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3,True
beta,1.0,REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3,True
beta,2.0,REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L1,False
beta,5.0,ALLOW_FALLBACK_L3 | ALLOW_FALLBACK_L3 | ALLOW_FALLBACK_L3 | ALLOW_FALLBACK_L3 | ALLOW_FALLBACK_L1,False
beta,10.0,ALLOW_FALLBACK_L1 | ALLOW_FALLBACK_L1 | ALLOW_FALLBACK_L1 | ALLOW_FALLBACK_L1 | ALLOW_FALLBACK_L1,False
gamma,0.0,REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3,True
gamma,0.25,REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3,True
gamma,0.5,REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3,True
gamma,1.0,REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3,True
gamma,2.0,REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3,True
gamma,4.0,REQUIRE_HYBRID_L5 | REQUIRE_HYBRID_L5 | REQUIRE_HYBRID_L5 | REQUIRE_HYBRID_L3 | REQUIRE_HYBRID_L3,False
gamma,8.0,REQUIRE_HYBRID_L5 | REQUIRE_HYBRID_L5 | REQUIRE_HYBRID_L5 | REQUIRE_HYBRID_L5 | REQUIRE_HYBRID_L3,False
gamma,16.0,REQUIRE_HYBRID_L5 | REQUIRE_HYBRID_L5 | REQUIRE_HYBRID_L5 | REQUIRE_HYBRID_L5 | REQUIRE_HYBRID_L5,False
