Method,RTT_ms,mean_reward,mean_latency,median_latency,p95_latency,mean_wire,count
Rule_Based,0.0,0.060217246413230896,400.93829345703125,400.93829345703125,400.93829345703125,3402.0,410
Rule_Based,15.0,-1.372704267501831,473.24383544921875,473.24383544921875,473.24383544921875,3402.0,393
Rule_Based,50.0,-3.001042604446411,463.856201171875,463.856201171875,463.856201171875,2466.0,395
Rule_Based,100.0,-8.844870567321777,561.7735595703125,561.7735595703125,561.7735595703125,2272.0,415
Rule_Based,200.0,-22.406829833984375,745.7077026367188,745.7077026367188,745.7077026367188,1378.0,387
Oracle,0.0,0.8366926312446594,312.0107421875,312.0107421875,312.0107421875,2466.0,410
Oracle,15.0,-0.1842421144247055,360.0906066894531,360.0906066894531,360.0906066894531,2466.0,393
Oracle,50.0,-3.001042604446411,463.856201171875,463.856201171875,463.856201171875,2466.0,395
Oracle,100.0,-7.369513034820557,561.065673828125,561.065673828125,561.065673828125,2466.0,415
Oracle,200.0,-19.06218910217285,760.2996826171875,760.2996826171875,760.2996826171875,2466.0,387
BC,0.0,-0.5974417886719471,313.2426203285776,312.0107421875,401.0733337402344,2340.9317073170732,410
BC,15.0,-1.878893456917076,366.8110796513448,360.0906066894531,473.24383544921875,2309.826972010178,393
BC,50.0,-4.185726331155512,463.61779406583764,463.856201171875,547.0948486328125,2344.0078767800633,395
BC,100.0,-9.056399138577014,562.928232804264,561.065673828125,658.2759094238264,2278.2698795180722,415
BC,200.0,-21.080686283358,765.5426465411518,760.2996826171875,856.7622680664062,2295.297157622739,387
CQL,0.0,-0.39243547912777926,314.2539915875691,312.0107421875,401.0733337402344,2354.3560975609757,410
CQL,15.0,-1.7385004872963326,368.4160309226155,360.0906066894531,473.24383544921875,2315.8320610687024,393
CQL,50.0,-4.127814151667342,464.4705683068384,463.856201171875,547.0948486328125,2352.5142058939873,395
CQL,100.0,-9.050733554794128,563.2995078213244,561.065673828125,658.2759094238264,2278.597590361446,415
CQL,200.0,-20.908776354728126,763.4938644685178,760.2996826171875,856.7622680664062,2282.3410852713178,387
IQL,0.0,-0.5974417886719471,313.2426203285776,312.0107421875,401.0733337402344,2340.9317073170732,410
IQL,15.0,-1.878893456917076,366.8110796513448,360.0906066894531,473.24383544921875,2309.826972010178,393
IQL,50.0,-4.185726331155512,463.61779406583764,463.856201171875,547.0948486328125,2344.0078767800633,395
IQL,100.0,-9.056399138577014,562.928232804264,561.065673828125,658.2759094238264,2278.2698795180722,415
IQL,200.0,-21.080686283358,765.5426465411518,760.2996826171875,856.7622680664062,2295.297157622739,387
BCQ,0.0,-0.5974417886719471,313.2426203285776,312.0107421875,401.0733337402344,2340.9317073170732,410
BCQ,15.0,-1.878893456917076,366.8110796513448,360.0906066894531,473.24383544921875,2309.826972010178,393
BCQ,50.0,-4.185726331155512,463.61779406583764,463.856201171875,547.0948486328125,2344.0078767800633,395
BCQ,100.0,-9.056399138577014,562.928232804264,561.065673828125,658.2759094238264,2278.2698795180722,415
BCQ,200.0,-21.080686283358,765.5426465411518,760.2996826171875,856.7622680664062,2295.297157622739,387
AWAC,0.0,-0.5974417886719471,313.2426203285776,312.0107421875,401.0733337402344,2340.9317073170732,410
AWAC,15.0,-1.878893456917076,366.8110796513448,360.0906066894531,473.24383544921875,2309.826972010178,393
AWAC,50.0,-4.185726331155512,463.61779406583764,463.856201171875,547.0948486328125,2344.0078767800633,395
AWAC,100.0,-9.056399138577014,562.928232804264,561.065673828125,658.2759094238264,2278.2698795180722,415
AWAC,200.0,-21.080686283358,765.5426465411518,760.2996826171875,856.7622680664062,2295.297157622739,387
