Method,RTT_ms,mean_reward,std_reward,mean_latency_ms,median_latency_ms,p95_latency_ms,mean_wire_bytes,median_wire_bytes,hybrid_rate,pqc_rate,classical_rate,fallback_rate,violation_rate,level_3_plus_rate,level_1_rate,level_3_rate,level_5_rate
BC,0.0,-0.5974417886719471,3.7329669931049816,313.2426203285776,312.0107421875,401.0733337402344,2340.9317073170732,2466.0,0.7682926829268293,0.11463414634146342,0.03658536585365854,0.08048780487804878,0.06341463414634146,0.9365853658536587,0.06341463414634146,0.7975609756097561,0.13902439024390245
BC,15.0,-1.878893456917076,4.054081053022721,366.8110796513448,360.0906066894531,473.24383544921875,2309.826972010178,2466.0,0.7506361323155216,0.10178117048346055,0.04580152671755725,0.10178117048346055,0.05852417302798982,0.9414758269720102,0.05852417302798982,0.7888040712468194,0.15267175572519084
BC,50.0,-4.180385115176817,2.7943545779167636,463.8836876205251,463.856201171875,547.0948486328125,2345.461041337025,2466.0,0.7569620253164557,0.10632911392405064,0.020253164556962026,0.11645569620253166,0.04810126582278481,0.9518987341772152,0.04810126582278481,0.8126582278481012,0.13924050632911392
BC,100.0,-9.05723825707493,3.9095901576708276,562.9961645654885,561.065673828125,658.2759094238264,2278.4433734939757,2466.0,0.7710843373493976,0.07228915662650603,0.05301204819277108,0.10361445783132531,0.04578313253012048,0.9542168674698794,0.04578313253012048,0.8240963855421686,0.13012048192771083
BC,200.0,-21.080686283358,4.174037145189089,765.5426465411518,760.2996826171875,856.7622680664062,2295.297157622739,2466.0,0.7364341085271318,0.1007751937984496,0.06201550387596899,0.10077519379844961,0.049095607235142114,0.9509043927648579,0.049095607235142114,0.772609819121447,0.17829457364341084
CQL,0.0,0.2377658502357762,1.2448684938314487,313.7928811794374,312.0107421875,401.01256561279297,2406.8926829268294,2466.0,0.8317073170731708,0.09999999999999999,0.0,0.06829268292682927,0.036585365853658534,0.9634146341463415,0.036585365853658534,0.8829268292682927,0.08048780487804878
CQL,15.0,-0.9610417616048842,1.4550471571165922,367.9367536006083,360.0906066894531,473.24383544921875,2375.944020356234,2466.0,0.7964376590330788,0.0916030534351145,0.0,0.11195928753180662,0.027989821882951654,0.9720101781170484,0.027989821882951654,0.8753180661577609,0.09669211195928754
CQL,50.0,-3.671716251856164,1.3221988388220405,467.4531329577482,463.856201171875,547.0948486328125,2392.636287331883,2466.0,0.779746835443038,0.10379746835443038,0.0,0.11645569620253164,0.00759493670886076,0.9924050632911393,0.00759493670886076,0.8911392405063292,0.10126582278481013
CQL,100.0,-8.104223106568119,1.460442940179355,565.7743722938629,561.065673828125,646.8641357421875,2362.655421686747,2466.0,0.8168674698795181,0.05783132530120482,0.0,0.12530120481927712,0.016867469879518072,0.983132530120482,0.016867469879518072,0.9180722891566265,0.06506024096385543
CQL,200.0,-19.524903630101402,1.1703689441444531,756.2830135532744,760.2996826171875,760.2996826171875,2346.4134366925064,2466.0,0.8682170542635658,0.031007751937984496,0.0,0.10077519379844961,0.031007751937984496,0.9689922480620154,0.031007751937984496,0.9534883720930232,0.015503875968992248
