Method,Reward,Latency_ms,Wire_B,Hybrid_pct,PQC_pct,Classical_pct,Violation_pct
Oracle,-5.68,489.9,2466,100.0,0.0,0.0,0.0
Rule,-7.02,527.7,2591,59.9,20.8,0.0,0.0
CQL,-7.16,493.2,2317,75.8,9.8,3.7,5.0
BC,-7.28,492.8,2314,75.8,9.8,4.3,5.3
IQL,-7.28,492.8,2314,75.8,9.8,4.3,5.3
BCQ,-7.28,492.8,2314,75.8,9.8,4.3,5.3
AWAC,-7.28,492.8,2314,75.8,9.8,4.3,5.3
CQL+Mask,-6.54,500.9,2386,75.8,9.9,0.0,0.0
BC+Mask,-6.55,501.4,2390,75.6,10.0,0.0,0.0
IQL+Mask,-6.55,501.4,2390,75.6,10.0,0.0,0.0
BCQ+Mask,-6.35,503.7,2475,83.2,8.5,0.0,0.0
AWAC+Mask,-6.55,501.3,2390,75.7,9.9,0.0,0.0
